ObjectId,Date,Value
8535,D07/18/2002,-6.96
8585,D07/28/2002,-0.72
8591,D07/28/2002,-5.86
8636,D08/07/2002,9.98
8643,D08/07/2002,10.44
8654,D08/16/2002,9.48
8692,D08/17/2002,6.54
8701,D08/26/2002,9.08
8734,D08/28/2002,14.14
8753,D09/05/2002,19.38
8777,D09/05/2002,18.04
8802,D09/15/2002,29.98
8824,D09/15/2002,28.94
8856,D09/25/2002,24.18
8878,D09/25/2002,22.44
8907,D10/05/2002,14.88
8929,D10/05/2002,13.64
8971,D10/15/2002,31.78
8988,D10/15/2002,30.24
9015,D10/25/2002,21.18
9033,D10/25/2002,28.04
9066,D11/04/2002,19.88
9081,D11/04/2002,23.84
9118,D11/13/2002,8.34
9135,D11/14/2002,3.58
9156,D11/23/2002,4.48
9185,D11/24/2002,7.24
9202,D12/03/2002,14.98
9225,D12/03/2002,23.54
9254,D12/13/2002,15.88
9277,D12/13/2002,21.74
9304,D12/23/2002,6.28
9326,D12/23/2002,7.14
9358,D01/02/2003,5.78
9378,D01/02/2003,6.14
9410,D01/12/2003,7.68
9430,D01/12/2003,6.74
9463,D01/22/2003,13.08
9480,D01/22/2003,14.94
9513,D02/01/2003,-1.82
9534,D02/01/2003,-2.36
9567,D02/11/2003,8.58
9583,D02/11/2003,9.04
9617,D02/21/2003,6.18
9634,D02/21/2003,4.34
9680,D03/03/2003,0.98
9690,D03/03/2003,8.64
9720,D03/12/2003,12.24
9738,D03/13/2003,10.88
9754,D03/22/2003,8.28
9775,D03/22/2003,11.04
9802,D04/01/2003,-2.92
9825,D04/01/2003,-1.06
9854,D04/11/2003,2.74
9884,D04/13/2003,-0.52
9901,D04/21/2003,-4.52
9926,D04/21/2003,-3.46
9957,D05/01/2003,17.28
9979,D05/01/2003,17.34
10006,D05/11/2003,8.78
10029,D05/11/2003,14.54
10059,D05/21/2003,-2.42
10078,D05/21/2003,0.24
10118,D05/31/2003,3.48
10133,D05/31/2003,6.14
10171,D06/10/2003,-3.42
10184,D06/10/2003,6.04
10232,D06/20/2003,4.68
10238,D06/20/2003,12.24
10270,D06/29/2003,15.64
10286,D06/30/2003,7.78
10301,D07/09/2003,7.68
10328,D07/19/2003,10.18
10350,D07/19/2003,7.94
10377,D07/29/2003,7.28
10404,D08/01/2003,6.94
10428,D08/08/2003,20.68
10452,D08/08/2003,20.84
10478,D08/18/2003,17.98
10503,D08/18/2003,19.64
10531,D08/28/2003,9.78
10554,D08/28/2003,10.44
10584,D09/07/2003,22.38
10606,D09/07/2003,20.14
10638,D09/17/2003,30.88
10657,D09/17/2003,25.34
10694,D09/27/2003,38.38
10708,D09/27/2003,36.64
10759,D10/07/2003,40.18
10765,D10/07/2003,38.44
10795,D10/16/2003,36.84
10811,D10/17/2003,37.88
10828,D10/26/2003,39.68
10846,D10/26/2003,42.34
10879,D11/05/2003,42.78
10900,D11/05/2003,48.94
10926,D11/14/2003,33.08
10952,D11/15/2003,35.34
10976,D11/29/2003,25.28
11000,D11/29/2003,27.44
11028,D12/03/2003,20.84
11050,D12/05/2003,22.88
11083,D12/15/2003,26.58
11102,D12/15/2003,26.44
11133,D12/25/2003,15.18
11152,D12/25/2003,15.74
11187,D01/04/2004,13.48
11205,D01/04/2004,11.24
11241,D01/14/2004,22.08
11257,D01/14/2004,17.74
11304,D01/24/2004,17.98
11311,D01/24/2004,13.64
11358,D02/03/2004,13.98
11366,D02/03/2004,10.44
11374,D02/11/2004,8.48
11415,D02/13/2004,9.44
11423,D02/22/2004,10.14
11450,D02/24/2004,12.38
11474,D03/03/2004,-1.22
11495,D03/03/2004,-5.26
11526,D03/13/2004,6.38
11548,D03/13/2004,4.44
11576,D03/23/2004,14.58
11598,D03/23/2004,13.34
11639,D04/02/2004,-3.62
11648,D04/02/2004,-0.86
11674,D04/12/2004,-7.42
11698,D04/12/2004,-7.56
11724,D04/22/2004,-6.72
11748,D04/22/2004,-6.06
11779,D05/02/2004,1.78
11802,D05/02/2004,2.84
11829,D05/12/2004,-0.92
11851,D05/12/2004,2.74
11886,D05/22/2004,-13.02
11903,D05/22/2004,-8.36
11929,D06/01/2004,-2.72
11953,D06/11/2004,-2.82
11988,D06/21/2004,-2.02
12005,D06/21/2004,0.94
12048,D07/01/2004,8.98
12062,D07/01/2004,3.04
12096,D07/10/2004,-1.96
12114,D07/11/2004,2.38
12149,D07/21/2004,-1.02
12155,D07/21/2004,-2.06
12181,D07/30/2004,5.58
12200,D07/30/2004,2.74
12226,D08/09/2004,17.68
12244,D08/09/2004,12.54
12274,D08/19/2004,22.98
12297,D08/19/2004,18.44
12326,D08/29/2004,14.48
12349,D08/29/2004,10.84
12377,D09/08/2004,28.18
12400,D09/08/2004,26.14
12429,D09/18/2004,40.88
12450,D09/18/2004,37.64
12477,D09/28/2004,37.88
12500,D09/28/2004,34.84
12532,D10/08/2004,48.18
12553,D10/08/2004,46.44
12583,D10/18/2004,38.08
12602,D10/18/2004,34.84
12633,D10/28/2004,32.08
12650,D10/28/2004,30.14
12689,D11/07/2004,41.48
12703,D11/07/2004,39.74
12736,D11/17/2004,33.98
12753,D11/17/2004,33.44
12796,D11/27/2004,26.38
12808,D11/27/2004,26.14
12844,D12/07/2004,21.08
12855,D12/07/2004,21.84
12878,D12/15/2004,14.94
12910,D12/17/2004,17.48
12940,D12/26/2004,26.64
12958,D12/27/2004,30.48
12975,D01/05/2005,21.48
12992,D01/05/2005,17.04
13026,D01/15/2005,31.88
13045,D01/15/2005,29.24
13076,D01/25/2005,29.98
13097,D01/25/2005,26.24
13125,D02/04/2005,13.58
13149,D02/04/2005,10.94
13181,D02/14/2005,7.08
13201,D02/14/2005,4.54
13231,D02/24/2005,6.48
13252,D02/24/2005,1.34
13286,D03/06/2005,16.68
13305,D03/06/2005,9.24
13336,D03/16/2005,15.28
13354,D03/16/2005,12.34
13396,D03/26/2005,20.78
13404,D03/26/2005,19.84
13455,D04/05/2005,12.68
13462,D04/05/2005,8.54
13472,D04/14/2005,16.08
13493,D04/14/2005,13.34
13527,D04/24/2005,19.98
13546,D04/24/2005,11.74
13573,D05/04/2005,20.38
13596,D05/04/2005,16.34
13625,D05/14/2005,0.38
13649,D05/14/2005,-0.96
13676,D05/24/2005,5.08
13698,D05/24/2005,2.24
13726,D06/03/2005,7.38
13749,D06/03/2005,5.74
13781,D06/13/2005,18.48
13803,D06/13/2005,12.34
13833,D06/23/2005,16.48
13855,D06/23/2005,12.04
13888,D07/03/2005,15.18
13904,D07/03/2005,9.54
13941,D07/13/2005,27.18
13954,D07/13/2005,21.84
14005,D07/23/2005,17.28
14011,D07/23/2005,12.34
14041,D08/01/2005,1.94
14059,D08/02/2005,7.48
14073,D08/11/2005,20.68
14095,D08/11/2005,18.34
14124,D08/21/2005,30.78
14143,D08/21/2005,27.74
14173,D08/31/2005,18.28
14195,D08/31/2005,11.64
14227,D09/10/2005,20.08
14250,D09/10/2005,17.54
14273,D09/18/2005,27.08
14300,D09/20/2005,29.94
14326,D09/30/2005,39.44
14353,D10/02/2005,44.98
14378,D10/10/2005,31.38
14403,D10/20/2005,24.88
14430,D10/30/2005,28.58
14463,D11/09/2005,42.58
14490,D11/19/2005,24.28
14497,D11/28/2005,32.58
14522,D12/08/2005,36.38
14547,D12/18/2005,27.28
14573,D12/28/2005,18.58
14598,D01/07/2006,6.58
14625,D01/17/2006,14.18
14653,D01/27/2006,17.58
14679,D02/06/2006,16.18
14704,D02/16/2006,10.08
14733,D02/26/2006,10.18
14747,D03/07/2006,1.28
14772,D03/17/2006,-0.62
14797,D03/27/2006,4.28
14822,D04/06/2006,9.28
14849,D04/16/2006,-2.42
14872,D04/26/2006,0.98
14899,D05/06/2006,6.78
14927,D05/16/2006,16.48
14955,D05/26/2006,17.38
14978,D06/05/2006,9.68
15012,D06/15/2006,7.38
15022,D06/24/2006,10.98
15047,D07/04/2006,10.78
15072,D07/14/2006,15.08
15097,D07/24/2006,22.88
15123,D08/03/2006,18.38
15148,D08/13/2006,6.18
15175,D08/23/2006,23.58
15202,D09/02/2006,38.88
15227,D09/12/2006,41.38
15255,D09/22/2006,37.98
15282,D10/02/2006,39.68
15316,D10/12/2006,49.18
15322,D10/21/2006,43.98
15346,D10/28/2006,45.88
15372,D11/21/2006,26.18
15399,D11/30/2006,27.08
15429,D12/10/2006,31.08
15452,D12/20/2006,29.28
15480,D12/30/2006,26.68
15506,D01/09/2007,19.98
15538,D01/19/2007,20.98
15547,D01/28/2007,15.28
15573,D02/07/2007,13.38
15598,D02/17/2007,5.08
15622,D02/27/2007,9.08
15647,D03/09/2007,13.08
15674,D03/19/2007,14.98
15703,D03/29/2007,17.88
15729,D04/08/2007,18.88
15752,D04/18/2007,1.48
15781,D04/28/2007,6.18
15809,D05/08/2007,-5.42
15822,D05/17/2007,2.58
15847,D05/27/2007,16.88
15872,D06/06/2007,17.48
15897,D06/16/2007,1.38
15922,D06/26/2007,16.28
15947,D07/06/2007,16.18
15974,D07/16/2007,13.88
16001,D07/26/2007,15.18
16029,D08/05/2007,13.78
16056,D08/15/2007,18.88
16083,D08/25/2007,14.38
16113,D09/04/2007,26.18
16123,D09/13/2007,26.68
16147,D09/23/2007,35.18
16172,D10/03/2007,42.88
16198,D10/13/2007,45.78
16224,D10/23/2007,39.08
16250,D11/02/2007,30.28
16277,D11/12/2007,17.88
16304,D11/22/2007,31.98
16332,D12/02/2007,31.88
16364,D12/12/2007,29.38
16371,D12/21/2007,19.38
16397,D12/31/2007,13.58
16422,D01/10/2008,16.28
16448,D01/20/2008,22.38
16473,D01/30/2008,21.08
16497,D02/09/2008,14.98
16523,D02/19/2008,9.38
16549,D02/29/2008,-0.02
16575,D03/10/2008,9.98
16603,D03/20/2008,9.78
16626,D03/30/2008,5.68
16651,D04/09/2008,9.38
16678,D04/19/2008,14.98
16705,D04/29/2008,19.98
16730,D05/06/2008,10.18
16765,D05/19/2008,8.18
16772,D05/28/2008,13.18
16797,D06/07/2008,3.78
16822,D06/17/2008,13.68
16847,D06/27/2008,27.18
16873,D07/07/2008,24.88
16899,D07/08/2008,22.83
